amount,location,device,time,is_fraud
22.35,Mumbai,Tablet,11,0
8.49,New York,Tablet,1,0
12.94,Dubai,Unknown,1,0
56.09,New York,Desktop,6,1
18.25,Mumbai,Tablet,23,0
218.79,London,Desktop,20,0
32.5,Dubai,Mobile,19,0
82.59,New York,Mobile,19,0
23.81,Toronto,Mobile,12,0
5.52,Toronto,Tablet,18,0
69.18,New York,Unknown,3,0
65.44,Sydney,Mobile,9,0
4.53,Dubai,Tablet,3,0
71.08,Tokyo,Unknown,6,0
15.82,Dubai,Unknown,10,0
25.53,Tokyo,Desktop,20,0
17.62,New York,Tablet,12,0
101.07,Sydney,Tablet,20,0
68.92,Toronto,Mobile,16,0
9.27,New York,Unknown,22,0
1684.48,Tokyo,Mobile,9,1
59.6,Mumbai,Tablet,20,0
163.92,London,Mobile,18,1
511.17,Mumbai,Tablet,4,1
17.5,Tokyo,Desktop,10,0
43.0,Sydney,Tablet,11,0
18.57,Mumbai,Unknown,23,0
29.87,Tokyo,Desktop,9,0
18.69,Sydney,Desktop,2,0
8.09,New York,Mobile,18,0
411.22,Mumbai,Desktop,13,0
20.53,Tokyo,Desktop,19,0
102.33,Paris,Unknown,9,0
16.85,Sydney,Desktop,21,0
63.28,Dubai,Tablet,8,0
107.01,London,Desktop,23,1
43.72,Sydney,Mobile,1,0
47.76,London,Mobile,1,0
8.98,Toronto,Unknown,11,0
56.08,Sydney,Mobile,11,0
29.23,Toronto,Unknown,12,0
65.6,Toronto,Mobile,14,0
40.63,Mumbai,Mobile,7,0
18.85,New York,Mobile,13,0
54.19,Mumbai,Desktop,6,0
36.27,Mumbai,Desktop,20,0
41.79,New York,Unknown,7,0
52.02,Sydney,Tablet,11,0
12.57,London,Tablet,14,0
100.66,Mumbai,Tablet,21,0
560.71,London,Unknown,18,1
4.85,Paris,Mobile,8,0
642.38,Sydney,Tablet,21,1
6.8,Sydney,Desktop,3,0
50.96,Sydney,Mobile,0,0
25.45,Dubai,Desktop,16,0
7.47,New York,Tablet,23,0
49.52,Sydney,Tablet,9,0
20.54,London,Mobile,3,0
146.29,London,Unknown,8,0
12.63,Sydney,Desktop,20,0
17.77,Toronto,Tablet,0,0
10.95,Tokyo,Mobile,13,0
15.72,Dubai,Unknown,0,0
13.69,London,Mobile,14,0
52.48,Tokyo,Tablet,0,0
70.84,Paris,Desktop,14,0
11.39,London,Unknown,20,0
194.51,Dubai,Mobile,3,0
797.14,Toronto,Tablet,6,1
16.24,Mumbai,Tablet,8,0
115.31,Paris,Unknown,19,0
62.32,Mumbai,Tablet,15,0
55.36,London,Desktop,3,0
10.81,Paris,Tablet,17,0
9.25,Tokyo,Unknown,18,0
23.76,Dubai,Unknown,1,0
13.17,Dubai,Mobile,16,0
34.9,Toronto,Mobile,8,0
